#{"t_start": 1789115085.5023239, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
42.7,1580,88.243645,2,4,41,5,True,2,2,0
21.53,997,89.049206,2,2,24,5,True,0,0,0
10.47,403,89.202201,2,2,7,5,True,0,0,0
27.23,927,90.030707,2,3,24,5,True,0,0,1
17.99,651,90.266073,2,2,17,5,True,1,1,0
60.22,1528,91.337651,3,5,43,5,True,0,0,1
21.7,780,91.657424,2,3,17,5,True,1,1,0
23.23,1027,92.055759,2,3,21,5,True,0,0,0
15.75,775,92.828678,2,2,16,5,True,0,0,0
20.04,846,93.157374,2,2,21,5,True,0,0,0
21.3,1020,94.0082,2,3,19,5,True,1,1,0
23.19,1031,94.432655,2,2,26,5,True,0,0,0
60.17,1333,95.492309,3,5,41,5,True,0,0,1
19.21,929,95.849978,2,2,21,5,True,0,0,0
37.15,1235,96.804248,2,4,32,5,True,0,0,1
44.88,1662,97.966564,2,4,44,5,True,1,1,1
42.17,1733,99.15436,2,4,42,5,True,0,0,0
46.3,1420,99.726623,3,5,28,5,True,0,0,1
28.58,892,100.553198,2,3,25,5,True,0,0,0
47.24,1526,101.168704,3,5,30,5,True,0,0,1
24.44,906,102.004519,2,2,26,5,True,0,0,0
49.74,976,102.395595,3,5,27,5,True,1,1,1
12.55,795,103.176823,2,2,13,5,True,0,0,0
23.57,793,103.470978,2,3,19,5,True,0,0,0
54.35,1315,104.455658,3,5,35,5,True,0,0,1
33.33,1117,104.909706,2,4,27,5,True,1,1,0
36.49,1201,105.829286,2,3,36,5,True,1,1,0
14.7,580,106.061594,2,2,13,5,True,1,1,0
49.62,988,106.935369,3,5,27,5,True,0,0,1
53.9,1160,107.447296,3,5,33,5,True,1,1,1
20.87,763,108.19695,2,2,21,5,True,1,1,0
16.95,855,108.539851,2,2,18,5,True,0,0,0
16.37,1013,109.464115,2,2,19,5,True,0,0,0
46.63,1187,109.951414,3,5,26,5,True,0,0,1
16.37,813,110.728211,2,2,17,5,True,0,0,0
10.51,599,110.966901,2,2,9,5,True,0,0,0
64.11,1239,111.437043,3,5,44,5,True,0,0,1
23.62,788,112.245923,2,3,19,5,True,0,0,0
18.21,629,112.493563,2,2,17,5,True,0,0,0
16.17,533,112.721252,2,2,14,5,True,0,0,0
18.02,848,113.550324,2,2,19,5,True,0,0,0
13.34,916,113.89975,2,2,15,5,True,0,0,0
16.39,811,114.646876,2,2,17,5,True,0,0,0
24.71,779,114.946302,2,3,20,5,True,0,0,0
30.52,898,115.297012,2,3,27,5,True,0,0,0
35.04,1046,116.174385,2,3,33,5,True,0,0,0
17.66,884,116.502234,2,2,19,5,True,1,1,0
59.58,1792,117.698293,3,5,45,5,True,2,2,1
17.38,812,118.475407,2,2,18,5,True,0,0,0
22.39,1011,118.883151,2,2,25,5,True,0,0,0
11.71,779,119.650026,2,2,12,5,True,0,0,0
39.85,1165,120.129229,2,3,39,5,True,1,1,1
14.75,575,120.356895,2,2,13,5,True,0,0,0
73.01,1749,121.495353,3,5,58,5,True,0,0,1
33.6,1290,122.464922,2,2,39,5,True,0,0,0
62.9,1660,123.580208,3,5,47,5,True,1,1,1
18.82,1068,124.057983,2,2,22,5,True,0,0,0
59.2,1430,125.087199,3,5,41,5,True,1,1,1
15.37,913,125.436034,2,2,17,5,True,0,0,0
11.12,438,126.074028,2,2,8,5,True,0,0,0
20.11,739,126.376359,2,2,20,5,True,0,0,0
19.65,785,126.687295,2,3,15,5,True,1,1,0
19.64,686,127.389146,2,3,14,5,True,0,0,0
25.98,952,127.771019,2,2,28,5,True,2,2,0
53.17,1033,128.593869,3,5,31,5,True,0,0,1
34.75,1075,129.003176,2,4,28,5,True,0,0,1
11.16,534,129.224035,2,2,9,5,True,1,1,0
17.5,900,130.044693,2,2,19,5,True,0,0,0
20.24,1026,130.458034,2,2,23,5,True,0,0,0
54.32,1318,131.454149,3,5,35,5,True,1,1,1
18.22,928,131.818966,2,2,20,5,True,0,0,1
14.29,621,132.507478,2,2,13,5,True,0,0,0
71.04,1746,133.636893,3,5,56,5,True,0,0,1
39.49,1101,134.066151,2,4,33,5,True,0,0,0
75.0,2000,135.407529,3,5,52,4,False,0,0,1
28.4,910,136.235045,2,3,25,5,True,0,0,0
47.95,1155,136.673725,2,4,42,5,True,0,0,0
19.97,853,137.446369,2,2,21,5,True,0,0,0
16.51,699,137.714407,2,2,16,5,True,0,0,0
22.24,926,138.095474,2,2,24,5,True,1,1,0
19.2,830,138.943373,2,2,20,5,True,1,1,0
46.19,1131,139.445293,3,5,25,5,True,0,0,1
29.02,1448,140.475723,2,2,36,5,True,0,0,0
61.21,1629,141.527624,3,5,45,5,True,0,0,1
23.41,1009,141.940638,2,2,26,5,True,1,1,0
18.26,724,142.661953,2,2,18,5,True,1,1,0
30.35,1215,143.154407,2,2,35,5,True,0,0,1
17.85,665,143.847493,2,3,12,5,True,1,1,0
-4.66,316,143.974812,1,1,6,5,True,0,0,0
16.87,763,144.280979,2,2,17,5,True,0,0,0
15.05,745,144.595472,2,2,15,5,True,0,0,0
20.86,864,145.398885,2,3,17,5,True,1,1,0
68.26,1724,146.553235,3,5,53,5,True,0,0,1
35.7,1080,146.974958,2,3,34,5,True,0,0,1
17.46,804,147.723606,2,3,13,5,True,0,0,0
36.6,1490,148.279289,2,2,44,5,True,0,0,1
26.8,1170,149.179445,2,3,26,5,True,2,2,0
13.52,498,149.380347,2,2,11,5,True,0,0,0
33.94,1156,150.308918,2,3,33,5,True,2,2,1
21.97,853,150.643462,2,2,23,5,True,0,0,1
27.34,1016,151.513998,2,2,30,5,True,0,0,0
17.7,980,151.904189,2,2,20,5,True,0,0,0
26.73,877,152.707316,2,4,18,5,True,0,0,0
18.98,752,153.003824,2,2,19,5,True,0,0,0
31.42,808,153.323328,2,3,27,5,True,1,1,0
27.09,941,154.135831,2,2,29,5,True,0,0,0
26.73,877,154.487103,2,2,28,5,True,0,0,0
16.98,652,155.212792,2,2,16,5,True,0,0,0
22.65,785,155.507512,2,3,18,5,True,0,0,0
19.76,774,155.808739,2,3,15,5,True,0,0,0
