episode,return,steps,died,collected,epsilon
510,0.0,6,1,0,0.95155
511,0.0,11,1,0,0.951455
512,0.0,9,1,0,0.95136
513,0.0,4,1,0,0.951265
514,0.0,13,1,0,0.95117
515,0.0,12,1,0,0.951075
516,0.0,6,1,0,0.95098
517,1.0,84,1,2,0.950885
518,0.0,88,1,1,0.95079
519,0.0,8,1,0,0.950695
520,0.0,9,1,0,0.9506
521,0.0,14,1,0,0.950505
522,0.0,49,1,0,0.95041
523,0.0,16,1,0,0.950315
524,0.0,14,1,0,0.95022
525,0.0,4,1,0,0.950125
526,0.0,28,1,0,0.95003
527,0.0,14,1,0,0.949935
528,4.0,248,0,4,0.94984
529,0.0,50,1,0,0.949745
530,0.0,3,1,0,0.94965
531,0.0,10,1,0,0.949555
532,0.0,38,1,0,0.94946
533,1.0,96,1,2,0.949365
534,2.0,303,1,3,0.9492700000000001
535,1.0,184,1,2,0.949175
536,1.0,194,1,2,0.94908
537,0.0,8,1,0,0.948985
538,1.0,148,1,2,0.94889
539,3.0,315,1,3,0.948795
540,2.0,168,1,3,0.9487
541,0.0,6,1,0,0.948605
542,0.0,14,1,0,0.94851
543,0.0,6,1,0,0.948415
544,0.0,34,1,0,0.94832
545,0.0,23,1,0,0.948225
546,0.0,4,1,0,0.94813
547,0.0,22,1,0,0.948035
548,0.0,65,1,1,0.94794
549,0.0,3,1,0,0.947845
550,0.0,7,1,0,0.94775
551,4.0,355,0,4,0.947655
552,0.0,35,1,0,0.94756
553,0.0,25,1,0,0.947465
554,0.0,39,1,0,0.94737
555,0.0,3,1,0,0.947275
556,0.0,23,1,0,0.94718
557,0.0,6,1,0,0.947085
558,0.0,7,1,0,0.94699
559,0.0,7,1,0,0.946895
560,0.0,61,1,0,0.9468
561,0.0,4,1,0,0.946705
562,0.0,3,1,0,0.94661
563,1.0,400,0,2,0.946515
564,0.0,8,1,0,0.94642
565,0.0,12,1,0,0.946325
566,0.0,2,1,0,0.94623
567,0.0,40,1,0,0.946135
568,0.0,39,1,0,0.94604
569,0.0,12,1,0,0.945945
570,0.0,16,1,0,0.94585
571,0.0,19,1,0,0.945755
572,0.0,37,1,0,0.94566
573,0.0,29,1,0,0.945565
574,0.0,95,1,0,0.94547
575,0.0,20,1,0,0.945375
576,0.0,14,1,0,0.94528
577,0.0,37,1,0,0.945185
578,0.0,33,1,0,0.94509
579,3.0,180,1,3,0.944995
580,0.0,22,1,0,0.9449
581,0.0,26,1,0,0.944805
582,0.0,27,1,0,0.94471
583,0.0,9,1,0,0.944615
584,0.0,26,1,0,0.94452
585,1.0,149,1,2,0.944425
586,0.0,5,1,0,0.94433
587,0.0,8,1,0,0.944235
588,0.0,37,1,0,0.94414
589,0.0,72,1,0,0.944045
