#{"t_start": 1789115243.625472, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
4.68,382,76.425331,2,2,1,5,True,1,1,0
7.5,2000,77.764191,2,3,4,3,False,0,0,0
13.0,2000,79.126301,2,4,4,2,False,0,0,0
21.5,2000,80.467664,2,5,7,1,False,1,1,0
5.06,744,81.265804,2,2,5,5,True,0,0,0
9.82,468,81.478691,2,2,7,5,True,0,0,0
6.26,824,81.837331,2,2,7,5,True,0,0,0
10.78,672,82.583789,2,3,5,5,True,0,0,0
13.5,2000,83.966738,2,4,4,1,False,1,1,0
24.87,1663,84.680909,3,5,9,5,True,3,3,1
22.0,2000,86.046533,2,5,8,2,False,1,1,0
10.78,772,86.841911,2,3,6,5,True,1,1,0
19.0,2000,88.206702,2,4,11,4,False,0,0,0
7.3,520,88.458675,2,2,5,5,True,0,0,0
20.5,2000,89.811116,2,4,12,3,False,1,0,0
10.21,529,90.039137,2,3,3,5,True,1,1,0
7.75,275,90.169469,2,2,3,5,True,1,1,1
8.03,547,90.866184,2,2,6,5,True,0,0,0
18.5,2000,92.226759,2,4,10,3,False,1,1,0
19.0,2000,93.138164,2,5,5,2,False,3,3,0
22.0,2000,94.464249,2,5,8,2,False,1,0,0
15.66,584,95.160505,2,3,9,5,True,2,2,0
9.31,1919,96.451511,2,5,6,5,True,1,1,0
36.0,2000,97.763091,3,6,6,0,False,0,0,1
5.48,702,98.07952,2,2,5,5,True,0,0,0
7.62,588,98.350753,2,2,6,5,True,1,1,0
12.0,750,99.15396,2,2,12,5,True,0,0,0
15.88,1362,99.764796,2,4,12,5,True,1,1,1
23.0,2000,101.103552,2,5,10,4,False,1,1,0
9.0,2000,102.467423,2,4,1,4,False,1,1,0
14.0,2000,103.853656,2,4,6,4,False,0,0,0
13.99,751,104.624218,2,3,9,5,True,1,1,0
6.29,421,104.822433,2,2,3,5,True,0,0,0
3.15,635,105.098761,2,2,2,5,True,1,1,0
15.0,2000,106.475031,2,4,7,4,False,1,1,0
37.0,2000,107.842837,3,6,9,4,False,1,1,1
10.39,611,108.106511,2,3,4,5,True,0,0,0
13.37,713,108.874514,2,3,8,5,True,1,1,0
7.22,528,109.123046,2,2,5,5,True,1,1,0
-13.36,186,109.198748,1,0,1,5,True,0,0,0
5.22,328,109.331026,2,2,1,5,True,1,1,0
16.0,2000,110.671464,2,5,3,4,False,0,0,0
45.0,2000,111.997574,3,7,12,4,False,1,1,1
12.04,546,112.24281,2,3,5,5,True,1,1,1
28.0,2000,113.570388,3,5,5,4,False,0,0,1
25.18,1432,114.663371,3,5,7,5,True,0,0,1
11.23,427,114.854514,2,3,3,5,True,0,0,0
24.26,1224,115.813078,2,5,14,5,True,1,1,0
10.73,577,116.053997,2,3,4,5,True,0,0,0
4.12,438,116.251849,2,2,1,5,True,0,0,0
9.23,627,116.987661,2,2,8,5,True,1,1,0
11.01,249,117.111426,2,3,1,5,True,0,0,0
31.97,853,117.474974,3,5,8,5,True,2,2,1
5.0,650,118.212706,2,2,4,5,True,2,2,0
9.98,652,118.496438,2,3,4,5,True,1,1,0
7.74,276,118.62075,2,2,3,5,True,1,1,0
12.0,2000,119.923254,2,4,4,4,False,0,0,0
48.5,2000,121.268734,3,9,5,3,False,2,2,1
10.3,620,121.562835,2,3,4,5,True,2,2,0
13.47,603,122.260685,2,3,7,5,True,0,0,0
5.33,417,122.449405,2,2,2,5,True,1,1,0
5.52,498,122.670319,2,2,3,5,True,1,1,0
10.36,1014,123.579781,2,4,3,5,True,0,0,0
14.36,1814,124.373965,2,5,10,5,True,1,1,0
35.16,834,125.191682,3,5,11,5,True,1,1,1
6.0,550,125.457109,2,2,4,5,True,1,1,0
17.48,402,125.643208,2,3,9,5,True,1,1,1
60.5,2000,126.968935,4,9,7,3,False,1,0,2
38.78,772,127.757928,3,5,14,5,True,1,1,1
25.32,1318,128.332224,3,5,6,5,True,1,1,1
12.87,463,128.975007,2,3,5,5,True,0,0,0
42.0,2000,130.319728,3,7,9,4,False,2,2,1
7.93,457,130.49754,2,2,5,5,True,0,0,0
48.04,1346,131.118827,3,9,9,5,True,1,1,1
8.97,753,131.874835,2,3,4,5,True,2,2,0
27.08,842,132.214986,3,5,3,5,True,2,2,1
6.67,483,132.411519,2,2,4,5,True,0,0,0
9.82,668,133.114412,2,3,4,5,True,2,2,0
22.0,2000,134.469006,2,5,8,2,False,3,3,0
25.77,873,134.835701,2,5,12,5,True,0,0,0
11.24,426,135.013135,2,3,3,5,True,0,0,0
36.1,740,135.797332,3,5,11,5,True,3,3,1
17.85,1165,136.314425,2,5,7,5,True,1,1,0
12.25,525,136.980672,2,3,5,5,True,1,1,0
40.47,603,137.221755,3,6,9,5,True,2,2,1
34.04,1146,137.724847,3,5,13,5,True,1,1,1
5.06,344,138.325589,2,2,1,5,True,0,0,0
10.49,401,138.513332,2,3,2,5,True,1,1,0
30.62,688,138.828785,3,5,5,5,True,1,1,1
14.99,551,139.069433,2,3,8,5,True,3,3,0
15.39,311,139.6511,2,4,1,5,True,1,1,0
12.78,472,139.857279,2,2,10,5,True,1,1,1
7.72,578,140.096781,2,2,6,5,True,1,1,0
28.46,1004,140.996261,3,5,6,5,True,1,1,1
6.15,435,141.192303,2,2,3,5,True,0,0,0
10.71,379,141.364605,2,3,2,5,True,1,1,0
36.71,679,141.642374,3,5,11,5,True,2,2,1
6.4,410,141.811852,2,2,3,5,True,1,1,0
5.82,268,142.357443,2,2,1,5,True,1,1,0
9.85,565,142.61452,2,3,3,5,True,1,1,0
25.61,1489,143.671513,3,5,8,5,True,1,1,1
70.0,2000,145.00831,4,10,12,4,False,3,2,2
33.0,2000,146.379401,3,6,5,4,False,1,1,1
7.0,650,146.678063,2,2,6,5,True,1,1,0
18.26,424,146.881856,2,4,5,5,True,1,1,1
41.5,2000,148.183816,3,7,8,3,False,2,2,1
13.76,574,148.445733,2,3,7,5,True,1,1,0
29.79,971,149.314103,3,5,7,5,True,1,1,1
14.94,1956,150.644357,3,5,2,5,True,2,2,1
20.52,498,150.857833,2,4,8,5,True,1,1,1
30.67,883,151.248115,3,5,7,5,True,2,2,1
33.13,1037,152.143895,3,5,11,5,True,1,1,1
21.13,637,152.411678,2,5,5,5,True,0,0,0
33.09,841,153.25605,3,5,9,5,True,3,3,1
11.91,659,153.558086,2,3,6,5,True,2,2,0
6.04,446,153.74661,2,2,3,5,True,1,1,0
13.62,588,154.023746,2,3,7,5,True,1,1,0
15.57,593,154.703945,2,3,9,5,True,0,0,0
7.04,346,154.853178,2,2,3,5,True,0,0,0
8.16,434,155.025463,2,2,5,5,True,1,1,1
32.97,653,155.304107,3,5,7,5,True,1,1,1
11.99,251,155.874386,2,3,2,5,True,0,0,0
12.71,779,156.194749,2,4,3,5,True,1,1,0
16.0,2000,157.515332,2,5,3,4,False,0,0,0
9.69,681,157.7941,2,3,4,5,True,1,1,0
7.81,369,157.953173,2,2,4,5,True,1,1,0
7.07,443,158.593494,2,2,4,5,True,1,1,0
9.49,501,158.81327,2,3,2,5,True,1,1,0
5.28,522,159.045277,2,2,3,5,True,0,0,0
5.79,371,159.187582,2,2,2,5,True,1,1,0
30.37,813,159.949603,3,5,6,5,True,1,1,1
60.49,1401,160.568102,4,9,12,5,True,4,4,2
53.0,2000,161.891398,3,9,10,4,False,2,2,1
13.84,466,162.5321,2,3,6,5,True,2,2,0
46.0,2000,163.854088,3,8,8,4,False,1,1,1
7.68,382,164.033797,2,2,4,5,True,0,0,0
43.4,610,164.295805,3,6,12,5,True,1,1,1
